country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,12.1,,,,,,,,,,,12.4,,,,,,,,,,4.3
Afghanistan,,,,,,,,,,,,7.6,,,,,,,,,,10.9
Angola,,,,,,,,,,,,2.9,,,,,,,,,,4.6
Albania,,,,,,,,,,,,2.8,,,,,,,,,,10.2
Andorra,,,,,,,,,,,,5.4,,,,,,,,,,9.7
UAE,,,,,,,,,,,,18.8,,,,,,,,,,16.4
Argentina,,,,,,,,,,,,5.5,,,,,,,,,,5.4
Armenia,,,,,,,,,,,,8.5,,,,,,,,,,5.6
American Samoa,,,,,,,,,,,,,,,,,,,,,,20.3
Antigua and Barbuda,,,,,,,,,,,,12.5,,,,,,,,,,11.7
Australia,0,,,,,,,,,,,6.6,,,,,,,,,,6.4
Austria,,,,,,,,,,,,6.6,,,,,,,,,,4.6
Azerbaijan,,,,,,,,,,,,2.8,,,,,,,,,,5.6
Burundi,,,,,,,,,,,,2.7,,,,,,,,,,6.5
Belgium,,,,,,,,,,,,4.8,,,,,,,,,,3.6
Benin,,,,,,,,,,,,2,,,,,,,,,,1.1
Burkina Faso,,,,,,,,,,,,3,,,,,,,,,,2.1
Bangladesh,,,,,,,,,,,,10.5,,,,,,,,,,14.2
Bulgaria,,,,,,,,,,,,6.7,,,,,,,,,,7.4
Bahrain,14.8,,,,,,,,,,,19.5,,,,,,,,,,11.3
Bahamas,,,,,,,,,,,,12.1,,,,,,,,,,8.8
Bosnia and Herzegovina,,,,,,,,,,,,7.5,,,,,,,,,,9.1
Belarus,,,,,,,,,,,,8,,,,,,,,,,5.6
Belize,,,,,,,,,,,,17,,,,,,,,,,14.5
Bermuda,12.1,,,,,,,,,,,12,,,,,,,,,,13
Bolivia,,,,,,,,,,,,6.6,,,,,,,,,,5.5
Brazil,,,,,,,,,,,,10.1,,,,,,,,,,8.8
Barbados,13.2,,,,,,,,,,,12.4,,,,,,,,,,14
Brunei,,,,,,,,,,,,9.4,,,,,,,,,,11.1
Bhutan,,,,,,,,,,,,5.7,,,,,,,,,,10.4
Botswana,,,,,,,,,,,,10.8,,,,,,,,,,5.2
Central African Republic,,,,,,,,,,,,3.2,,,,,,,,,,5.8
Canada,,,,,,,,,,,,8.4,,,,,,,,,,7.7
Channel Islands,,,,,,,,,,,,4.9,,,,,,,,,,6.3
Switzerland,,,,,,,,,,,,5.9,,,,,,,,,,4.6
Chile,,,,,,,,,,,,9.5,,,,,,,,,,10.8
China,,,,,,,,,,,,8.8,,,,,,,,,,10.6
Cote d'Ivoire,,,,,,,,,,,,4.9,,,,,,,,,,2.1
Cameroon,0,,,,,,,,,,,6.1,,,,,,,,,,5.5
"Congo, Dem. Rep.",,,,,,,,,,,,3.1,,,,,,,,,,5.8
"Congo, Rep.",,,,,,,,,,,,5.5,,,,,,,,,,5.5
Colombia,,,,,,,,,,,,9.8,,,,,,,,,,8.3
Comoros,,,,,,,,,,,,8.4,,,,,,,,,,11.7
Cape Verde,,,,,,,,,,,,5.4,,,,,,,,,,2.1
Costa Rica,,,,,,,,,,,,9.6,,,,,,,,,,8.8
Cuba,,,,,,,,,,,,9.4,,,,,,,,,,7.6
Cayman Islands,12.1,,,,,,,,,,,12,,,,,,,,,,13
Cyprus,,,,,,,,,,,,9.3,,,,,,,,,,8.6
Czech Republic,11.7,,,,,,,,,,,5.3,,,,,,,,,,7.1
Germany,,,,,,,,,,,,5.3,,,,,,,,,,6.9
Djibouti,,,,,,,,,,,,6.3,,,,,,,,,,7.4
Dominica,,,,,,,,,,,,8.9,,,,,,,,,,11.7
Denmark,,,,,,,,,,,,5.6,,,,,,,,,,5.3
Dominican Republic,,,,,,,,,,,,8.1,,,,,,,,,,10.5
Algeria,,,,,,,,,,,,7,,,,,,,,,,7.1
Ecuador,,,,,,,,,,,,6.6,,,,,,,,,,4.4
Egypt,,,,,,,,,,,,16.6,,,,,,,,,,20.9
Eritrea,,,,,,,,,,,,3.6,,,,,,,,,,6.5
Spain,,,,,,,,,,,,6.3,,,,,,,,,,10.3
Estonia,,,,,,,,,,,,7,,,,,,,,,,6.5
Ethiopia,,,,,,,,,,,,3.4,,,,,,,,,,5
Finland,,,,,,,,,,,,5.8,,,,,,,,,,6.1
Fiji,,,,,,,,,,,,10.9,,,,,,,,,,17.7
France,,,,,,,,,,,,5.4,,,,,,,,,,5.3
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,3.8
"Micronesia, Fed. Sts.",,,,,,,,,,,,15.7,,,,,,,,,,15.6
Gabon,,,,,,,,,,,,10.3,,,,,,,,,,5.5
Isle of Man,,,,,,,,,,,,,,,,,,,,,,6.3
UK,,,,,,,,,,,,5.2,,,,,,,,,,6.3
Georgia,,,,,,,,,,,,2.8,,,,,,,,,,5.7
Ghana,,,,,,,,,,,,5,,,,,,,,,,2.6
Guinea,,,,,,,,,,,,4.4,,,,,,,,,,2.1
Gambia,,,,,,,,,,,,2,,,,,,,,,,1.9
Guinea-Bissau,,,,,,,,,,,,3,,,,,,,,,,2.1
Equatorial Guinea,,,,,,,,,,,,4.2,,,,,,,,,,5.5
Greece,,,,,,,,,,,,5.1,,,,,,,,,,6.4
Grenada,12.1,,,,,,,,,,,8.6,,,,,,,,,,12.6
Greenland,,,,,,,,,,,,,,,,,,,,,,3.3
Guatemala,,,,,,,,,,,,9.3,,,,,,,,,,13.1
Guam,,,,,,,,,,,,8.6,,,,,,,,,,19.1
Guyana,,,,,,,,,,,,16.7,,,,,,,,,,11.7
"Hong Kong, China",12.1,,,,,,,,,,,7.6,,,,,,,,,,7.8
Honduras,,,,,,,,,,,,6.7,,,,,,,,,,5.1
Croatia,,,,,,,,,,,,5.2,,,,,,,,,,4.8
Haiti,,,,,,,,,,,,6.6,,,,,,,,,,8.9
Hungary,,,,,,,,,,,,6,,,,,,,,,,7
Indonesia,,,,,,,,,,,,5.1,,,,,,,,,,10.6
India,,,,,,,,,,,,9,,,,,,,,,,9.6
Ireland,,,,,,,,,,,,5.2,,,,,,,,,,3
Iran,,,,,,,,,,,,11.1,,,,,,,,,,9.1
Iraq,,,,,,,,,,,,9.1,,,,,,,,,,10.7
Iceland,,,,,,,,,,,,3.2,,,,,,,,,,5.5
Israel,,,,,,,,,,,,7.4,,,,,,,,,,8.5
Italy,,,,,,,,,,,,5.1,,,,,,,,,,6.4
Jamaica,,,,,,,,,,,,15.7,,,,,,,,,,11.1
Jordan,,,,,,,,,,,,12.1,,,,,,,,,,15.4
Japan,,,,,,,,,,,,7.7,,,,,,,,,,6.6
Kazakhstan,,,,,,,,,,,,7.7,,,,,,,,,,6.6
Kenya,,,,,,,,,,,,5.1,,,,,,,,,,4
Kyrgyz Republic,,,,,,,,,,,,6.3,,,,,,,,,,6.6
Cambodia,,,,,,,,,,,,2.9,,,,,,,,,,7.3
Kiribati,,,,,,,,,,,,25.3,,,,,,,,,,22.1
St. Kitts and Nevis,12.1,,,,,,,,,,,8.5,,,,,,,,,,16.1
South Korea,,,,,,,,,,,,7.5,,,,,,,,,,6.8
Kuwait,,,,,,,,,,,,20.7,,,,,,,,,,24.9
Lao,,,,,,,,,,,,3.3,,,,,,,,,,6.2
Lebanon,,,,,,,,,,,,19.6,,,,,,,,,,8
Liberia,,,,,,,,,,,,3.3,,,,,,,,,,2.1
Libya,,,,,,,,,,,,13.8,,,,,,,,,,8.7
St. Lucia,,,,,,,,,,,,8.4,,,,,,,,,,11.7
Liechtenstein,,,,,,,,,,,,4.7,,,,,,,,,,6.1
Sri Lanka,,,,,,,,,,,,7.5,,,,,,,,,,11.3
Lesotho,,,,,,,,,,,,3.4,,,,,,,,,,4.6
Lithuania,,,,,,,,,,,,7.8,,,,,,,,,,5.8
Luxembourg,,,,,,,,,,,,4.5,,,,,,,,,,5.9
Latvia,,,,,,,,,,,,7.8,,,,,,,,,,5.9
"Macao, China",,,,,,,,,,,,7.2,,,,,,,,,,7.8
Morocco,,,,,,,,,,,,6.8,,,,,,,,,,9.1
Monaco,,,,,,,,,,,,5.6,,,,,,,,,,6.2
Moldova,,,,,,,,,,,,2.7,,,,,,,,,,5.6
Madagascar,,,,,,,,,,,,4.7,,,,,,,,,,4.6
Maldives,,,,,,,,,,,,9.2,,,,,,,,,,9.2
Mexico,14.2,,,,,,,,,,,15.6,,,,,,,,,,16.9
Marshall Islands,,,,,,,,,,,,21.8,,,,,,,,,,23
North Macedonia,,,,,,,,,,,,7.7,,,,,,,,,,6.1
Mali,,,,,,,,,,,,1.9,,,,,,,,,,2.1
Malta,,,,,,,,,,,,6.6,,,,,,,,,,8
Myanmar,,,,,,,,,,,,7.1,,,,,,,,,,7.1
Montenegro,,,,,,,,,,,,7.7,,,,,,,,,,9.1
Mongolia,,,,,,,,,,,,7.1,,,,,,,,,,6.9
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,23.4
Mozambique,,,,,,,,,,,,3.1,,,,,,,,,,3.3
Mauritania,,,,,,,,,,,,4.3,,,,,,,,,,2.1
Mauritius,15,,,,,,,,,,,14.8,,,,,,,,,,22.6
Malawi,,,,,,,,,,,,5.6,,,,,,,,,,7.3
Malaysia,,,,,,,,,,,,12.1,,,,,,,,,,19
Namibia,,,,,,,,,,,,7.8,,,,,,,,,,6.7
New Caledonia,,,,,,,,,,,,8.6,,,,,,,,,,23.4
Niger,,,,,,,,,,,,4.2,,,,,,,,,,5.2
Nigeria,,,,,,,,,,,,4.8,,,,,,,,,,3.6
Nicaragua,,,,,,,,,,,,11,,,,,,,,,,9.3
Netherlands,,,,,,,,,,,,5.3,,,,,,,,,,4.5
Curaçao,,,,,,,,,,,,,,,,,,,,,,11.7
Norway,,,,,,,,,,,,4.7,,,,,,,,,,3.6
Nepal,,,,,,,,,,,,3.6,,,,,,,,,,8.7
Nauru,,,,,,,,,,,,20.4,,,,,,,,,,23.4
New Zealand,,,,,,,,,,,,8.6,,,,,,,,,,6.2
Oman,,,,,,,,,,,,10.5,,,,,,,,,,13.8
Pakistan,11.8,,,,,,,,,,,7.9,,,,,,,,,,30.8
Panama,,,,,,,,,,,,9.4,,,,,,,,,,8.2
Peru,,,,,,,,,,,,6,,,,,,,,,,4.8
Philippines,,,,,,,,,,,,9.7,,,,,,,,,,7.1
Palau,,,,,,,,,,,,11.1,,,,,,,,,,17
Papua New Guinea,15.5,,,,,,,,,,,7.6,,,,,,,,,,16.7
Poland,,,,,,,,,,,,9,,,,,,,,,,6.8
Puerto Rico,,,,,,,,,,,,13,,,,,,,,,,13.3
North Korea,,,,,,,,,,,,8.4,,,,,,,,,,8.6
Portugal,,,,,,,,,,,,9.6,,,,,,,,,,9.1
Paraguay,,,,,,,,,,,,6.5,,,,,,,,,,7.5
Palestine,,,,,,,,,,,,9.2,,,,,,,,,,9.2
French Polynesia,,,,,,,,,,,,8.6,,,,,,,,,,25.2
Qatar,,,,,,,,,,,,19.8,,,,,,,,,,19.5
Romania,,,,,,,,,,,,7.7,,,,,,,,,,6.5
Russia,,,,,,,,,,,,9.7,,,,,,,,,,5.6
Rwanda,,,,,,,,,,,,3.1,,,,,,,,,,6.5
Saudi Arabia,,,,,,,,,,,,19.6,,,,,,,,,,18.7
Sudan,,,,,,,,,,,,8.6,,,,,,,,,,18.9
Senegal,,,,,,,,,,,,3.2,,,,,,,,,,3.1
Singapore,,,,,,,,,,,,9.5,,,,,,,,,,11.6
Solomon Islands,,,,,,,,,,,,15.3,,,,,,,,,,19.8
Sierra Leone,,,,,,,,,,,,3.2,,,,,,,,,,2.1
El Salvador,,,,,,,,,,,,9.4,,,,,,,,,,6.3
San Marino,,,,,,,,,,,,5.5,,,,,,,,,,7.4
Somalia,,,,,,,,,,,,4.3,,,,,,,,,,6.5
Serbia,,,,,,,,,,,,7.7,,,,,,,,,,9.1
South Sudan,,,,,,,,,,,,,,,,,,,,,,6.5
Sao Tome and Principe,,,,,,,,,,,,5.5,,,,,,,,,,5.5
Suriname,,,,,,,,,,,,8.9,,,,,,,,,,12.7
Slovak Republic,,,,,,,,,,,,5.7,,,,,,,,,,5.8
Slovenia,,,,,,,,,,,,7.5,,,,,,,,,,5.8
Sweden,,,,,,,,,,,,4.2,,,,,,,,,,5
Eswatini,,,,,,,,,,,,3.1,,,,,,,,,,4.6
Seychelles,,,,,,,,,,,,12.1,,,,,,,,,,8.5
Syria,,,,,,,,,,,,9.9,,,,,,,,,,14.9
Chad,,,,,,,,,,,,3.9,,,,,,,,,,5.8
Togo,,,,,,,,,,,,3.3,,,,,,,,,,2.1
Thailand,,,,,,,,,,,,7.5,,,,,,,,,,9.7
Tajikistan,,,,,,,,,,,,6.3,,,,,,,,,,6.6
Turkmenistan,,,,,,,,,,,,2.7,,,,,,,,,,6.7
Timor-Leste,,,,,,,,,,,,7.5,,,,,,,,,,8.6
Tonga,11.5,,,,,,,,,,,12.7,,,,,,,,,,15
Trinidad and Tobago,14.1,,,,,,,,,,,12.7,,,,,,,,,,12.7
Tunisia,,,,,,,,,,,,9.5,,,,,,,,,,9.6
Turkey,,,,,,,,,,,,7.9,,,,,,,,,,14.5
Tuvalu,,,,,,,,,,,,19.2,,,,,,,,,,20.3
Tanzania,,,,,,,,,,,,2.8,,,,,,,,,,12.3
Uganda,,,,,,,,,,,,2.8,,,,,,,,,,4.6
Ukraine,,,,,,,,,,,,2.9,,,,,,,,,,5.6
Uruguay,,,,,,,,,,,,5.7,,,,,,,,,,9
USA,,,,,,,,,,,,9.4,,,,,,,,,,10.7
Uzbekistan,,,,,,,,,,,,6.4,,,,,,,,,,7
St. Vincent and the Grenadines,,,,,,,,,,,,8.8,,,,,,,,,,8
Venezuela,,,,,,,,,,,,10.2,,,,,,,,,,9.6
British Virgin Islands,12.1,,,,,,,,,,,8.6,,,,,,,,,,8.7
Virgin Islands (U.S.),,,,,,,,,,,,12.1,,,,,,,,,,12.4
Vietnam,,,,,,,,,,,,3.2,,,,,,,,,,6.1
Vanuatu,,,,,,,,,,,,16.1,,,,,,,,,,15.6
Samoa,,,,,,,,,,,,7.7,,,,,,,,,,9.2
Yemen,,,,,,,,,,,,9.6,,,,,,,,,,5.4
South Africa,,,,,,,,,,,,7,,,,,,,,,,10.8
Zambia,,,,,,,,,,,,4.8,,,,,,,,,,11.9
Zimbabwe,,,,,,,,,,,,9.8,,,,,,,,,,2.1
